Engine,DF_Type,Metric,Average Value
pandas,pandas,read_file_parquet,3.5274920152581255
pandas,pandas,groupby_statistics,3.3535475523575493
pandas,pandas,count,0.00015333424443783969
pandas,pandas,count_index_length,6.36992247208305e-05
pandas,pandas,mean,0.15507769584655762
pandas,pandas,standard_deviation,0.49975784965183423
pandas,pandas,mean_of_sum,0.2531915436620298
pandas,pandas,mean_of_product,0.21259235299151877
pandas,pandas,value_counts,0.879010936488276
pandas,pandas,mean_of_complicated_arithmetic_operation,7.761466648267663
pandas,pandas,join_count,3.4325023112089736
pandas,pandas,join_data,2.1188098762346352
dask,dask,read_file_parquet,0.013416870780613111
dask,dask,groupby_statistics,3.4446160482323687
dask,dask,count,37.38173806667328
dask,dask,count_index_length,3.850213672803796
dask,dask,mean,1.1584002246027407
dask,dask,standard_deviation,1.4650436069654382
dask,dask,mean_of_sum,1.582492030185202
dask,dask,mean_of_product,1.5541407854660698
dask,dask,value_counts,1.6907064603722615
dask,dask,mean_of_complicated_arithmetic_operation,5.337179173593936
dask,dask,join_count,4.247011423110962
dask,dask,join_data,3.8831836555315102
joblib,pandas,read_file_parquet,2.412180009095565
joblib,pandas,groupby_statistics,2.7917745320693306
joblib,pandas,count,3.8932750017746636
joblib,pandas,count_index_length,0.45965732698855194
joblib,pandas,mean,0.8809062708979067
joblib,pandas,standard_deviation,1.2420602881390115
joblib,pandas,mean_of_sum,0.8458826334580131
joblib,pandas,mean_of_product,0.8466264372286589
joblib,pandas,value_counts,0.7081791421641475
joblib,pandas,mean_of_complicated_arithmetic_operation,7.671637078990107
joblib,pandas,join_count,3.340380606443986
joblib,pandas,join_data,1.9881509179654329
cudf,dask,read_file_parquet,1.630261110222858
cudf,dask,groupby_statistics,2.7219560146331787
cudf,dask,count,10.722293277581533
cudf,dask,count_index_length,4.445448916891347
cudf,dask,mean,1.9204604522041653
cudf,dask,standard_deviation,2.0846343455107315
cudf,dask,mean_of_sum,2.151822224907253
cudf,dask,mean_of_product,2.1589160587476646
cudf,dask,value_counts,2.0323233189790146
cudf,dask,mean_of_complicated_arithmetic_operation,3.2826287331788437
cudf,dask,join_count,1.3070321912350862
cudf,dask,join_data,1.7640527642291526
cudf,pandas,read_file_parquet,3.0907000044117803
cudf,pandas,groupby_statistics,23.56640945310178
cudf,pandas,count,0.00027360086855681044
cudf,pandas,count_index_length,0.00017593217932659647
cudf,pandas,mean,0.040703866792761764
cudf,pandas,standard_deviation,0.015571055204971977
cudf,pandas,mean_of_sum,0.10075752631477687
cudf,pandas,mean_of_product,0.10024629468503206
cudf,pandas,value_counts,0.20727435402248218
cudf,pandas,mean_of_complicated_arithmetic_operation,1.2022703937862231
cudf,pandas,join_count,0.07664660785509192
cudf,pandas,join_data,0.07327853078427522
