Engine,DF_Type,Metric,Average Value
dask,dask,read_file_parquet,0.015909433364868164
dask,dask,groupby_statistics,9.557898612249465
dask,dask,count_index_length,7.72050268309457
dask,dask,mean,3.7444023064204623
dask,dask,standard_deviation,4.758414495558966
dask,dask,mean_of_sum,5.042185794739496
dask,dask,mean_of_product,5.038980222883678
dask,dask,value_counts,5.214762960161481
dask,dask,mean_of_complicated_arithmetic_operation,17.365208194369362
dask,dask,join_count,13.518366075697399
dask,dask,join_data,11.991553896949405
cudf,dask,read_file_parquet,1.8256884756542386
cudf,dask,groupby_statistics,18.06940914335705
cudf,dask,count_index_length,17.17081670534043
cudf,dask,mean,11.561560244787307
cudf,dask,standard_deviation,11.898927234468006
cudf,dask,mean_of_sum,12.69552199045817
cudf,dask,mean_of_product,12.652605817431496
cudf,dask,value_counts,11.735186996914091
cudf,dask,mean_of_complicated_arithmetic_operation,15.551994880040487
cudf,dask,join_count,10.220876886731102
cudf,dask,join_data,14.616025879269554
