Metric,Engine,DF_Type,Average Value
read_file_parquet,dask,dask,0.015909433364868164
groupby_statistics,dask,dask,9.557898612249465
count_index_length,dask,dask,7.72050268309457
mean,dask,dask,3.7444023064204623
standard_deviation,dask,dask,4.758414495558966
mean_of_sum,dask,dask,5.042185794739496
mean_of_product,dask,dask,5.038980222883678
value_counts,dask,dask,5.214762960161481
mean_of_complicated_arithmetic_operation,cudf,dask,15.551994880040487
join_count,cudf,dask,10.220876886731102
join_data,dask,dask,11.991553896949405
